NAME                             	CHART VERSION	APP VERSION   	DESCRIPTION                                       
elma365/elma365                  	2025.4.8     	2025.4.8      	Elma365 full application chart                    
elma365/elma365                  	2025.4.6     	2025.4.6      	Elma365 full application chart                    
elma365/elma365                  	2025.4.5     	2025.4.5      	Elma365 full application chart                    
elma365/elma365                  	2025.4.4     	2025.4.4      	Elma365 full application chart                    
elma365/elma365                  	2025.4.3     	2025.4.3      	Elma365 full application chart                    
elma365/elma365                  	2025.4.2     	2025.4.2      	Elma365 full application chart                    
elma365/elma365                  	2025.4.1     	2025.4.1      	Elma365 full application chart                    
elma365/elma365                  	2025.3.23    	2025.3.23     	Elma365 full application chart                    
elma365/elma365                  	2025.3.22    	2025.3.22     	Elma365 full application chart                    
elma365/elma365                  	2025.3.21    	2025.3.21     	Elma365 full application chart                    
elma365/elma365                  	2025.3.20    	2025.3.20     	Elma365 full application chart                    
elma365/elma365                  	2025.3.19    	2025.3.19     	Elma365 full application chart                    
elma365/elma365                  	2025.3.18    	2025.3.18     	Elma365 full application chart                    
elma365/elma365                  	2025.3.17    	2025.3.17     	Elma365 full application chart                    
elma365/elma365                  	2025.3.16    	2025.3.16     	Elma365 full application chart                    
elma365/elma365                  	2025.3.15    	2025.3.15     	Elma365 full application chart                    
elma365/elma365                  	2025.3.14    	2025.3.14     	Elma365 full application chart                    
elma365/elma365                  	2025.3.13    	2025.3.13     	Elma365 full application chart                    
elma365/elma365                  	2025.3.12    	2025.3.12     	Elma365 full application chart                    
elma365/elma365                  	2025.3.11    	2025.3.11     	Elma365 full application chart                    
elma365/elma365                  	2025.3.10    	2025.3.10     	Elma365 full application chart                    
elma365/elma365                  	2025.3.9     	2025.3.9      	Elma365 full application chart                    
elma365/elma365                  	2025.3.8     	2025.3.8      	Elma365 full application chart                    
elma365/elma365                  	2025.3.7     	2025.3.7      	Elma365 full application chart                    
elma365/elma365                  	2025.3.6     	2025.3.6      	Elma365 full application chart                    
elma365/elma365                  	2025.3.5     	2025.3.5      	Elma365 full application chart                    
elma365/elma365                  	2025.3.4     	2025.3.4      	Elma365 full application chart                    
elma365/elma365                  	2025.3.3     	2025.3.3      	Elma365 full application chart                    
elma365/elma365                  	2025.3.2     	2025.3.2      	Elma365 full application chart                    
elma365/elma365                  	2025.3.1     	2025.3.1      	Elma365 full application chart                    
elma365/elma365                  	2025.2.24    	2025.2.24     	Elma365 full application chart                    
elma365/elma365                  	2025.2.23    	2025.2.23     	Elma365 full application chart                    
elma365/elma365                  	2025.2.22    	2025.2.22     	Elma365 full application chart                    
elma365/elma365                  	2025.2.21    	2025.2.21     	Elma365 full application chart                    
elma365/elma365                  	2025.2.20    	2025.2.20     	Elma365 full application chart                    
elma365/elma365                  	2025.2.19    	2025.2.19     	Elma365 full application chart                    
elma365/elma365                  	2025.2.18    	2025.2.18     	Elma365 full application chart                    
elma365/elma365                  	2025.2.17    	2025.2.17     	Elma365 full application chart                    
elma365/elma365                  	2025.2.16    	2025.2.16     	Elma365 full application chart                    
elma365/elma365                  	2025.2.15    	2025.2.15     	Elma365 full application chart                    
elma365/elma365                  	2025.2.14    	2025.2.14     	Elma365 full application chart                    
elma365/elma365                  	2025.2.13    	2025.2.13     	Elma365 full application chart                    
elma365/elma365                  	2025.2.12    	2025.2.12     	Elma365 full application chart                    
elma365/elma365                  	2025.2.11    	2025.2.11     	Elma365 full application chart                    
elma365/elma365                  	2025.2.10    	2025.2.10     	Elma365 full application chart                    
elma365/elma365                  	2025.2.9     	2025.2.9      	Elma365 full application chart                    
elma365/elma365                  	2025.2.8     	2025.2.8      	Elma365 full application chart                    
elma365/elma365                  	2025.2.7     	2025.2.7      	Elma365 full application chart                    
elma365/elma365                  	2025.2.6     	2025.2.6      	Elma365 full application chart                    
elma365/elma365                  	2025.2.5     	2025.2.5      	Elma365 full application chart                    
elma365/elma365                  	2025.2.4     	2025.2.4      	Elma365 full application chart                    
elma365/elma365                  	2025.2.3     	2025.2.3      	Elma365 full application chart                    
elma365/elma365                  	2025.2.2     	2025.2.2      	Elma365 full application chart                    
elma365/elma365                  	2025.2.1     	2025.2.1      	Elma365 full application chart                    
elma365/elma365                  	2025.1.33    	2025.1.33     	Elma365 full application chart                    
elma365/elma365                  	2025.1.32    	2025.1.32     	Elma365 full application chart                    
elma365/elma365                  	2025.1.31    	2025.1.31     	Elma365 full application chart                    
elma365/elma365                  	2025.1.30    	2025.1.30     	Elma365 full application chart                    
elma365/elma365                  	2025.1.29    	2025.1.29     	Elma365 full application chart                    
elma365/elma365                  	2025.1.28    	2025.1.28     	Elma365 full application chart                    
elma365/elma365                  	2025.1.26    	2025.1.26     	Elma365 full application chart                    
elma365/elma365                  	2025.1.25    	2025.1.25     	Elma365 full application chart                    
elma365/elma365                  	2025.1.24    	2025.1.24     	Elma365 full application chart                    
elma365/elma365                  	2025.1.23    	2025.1.23     	Elma365 full application chart                    
elma365/elma365                  	2025.1.22    	2025.1.22     	Elma365 full application chart                    
elma365/elma365                  	2025.1.21    	2025.1.21     	Elma365 full application chart                    
elma365/elma365                  	2025.1.20    	2025.1.20     	Elma365 full application chart                    
elma365/elma365                  	2025.1.19    	2025.1.19     	Elma365 full application chart                    
elma365/elma365                  	2025.1.18    	2025.1.18     	Elma365 full application chart                    
elma365/elma365                  	2025.1.17    	2025.1.17     	Elma365 full application chart                    
elma365/elma365                  	2025.1.16    	2025.1.16     	Elma365 full application chart                    
elma365/elma365                  	2025.1.15    	2025.1.15     	Elma365 full application chart                    
elma365/elma365                  	2025.1.14    	2025.1.14     	Elma365 full application chart                    
elma365/elma365                  	2025.1.13    	2025.1.13     	Elma365 full application chart                    
elma365/elma365                  	2025.1.12    	2025.1.12     	Elma365 full application chart                    
elma365/elma365                  	2025.1.11    	2025.1.11     	Elma365 full application chart                    
elma365/elma365                  	2025.1.10    	2025.1.10     	Elma365 full application chart                    
elma365/elma365                  	2025.1.7     	2025.1.7      	Elma365 full application chart                    
elma365/elma365                  	2025.1.6     	2025.1.6      	Elma365 full application chart                    
elma365/elma365                  	2025.1.5     	2025.1.5      	Elma365 full application chart                    
elma365/elma365                  	2025.1.4     	2025.1.4      	Elma365 full application chart                    
elma365/elma365                  	2025.1.3     	2025.1.3      	Elma365 full application chart                    
elma365/elma365                  	2025.1.2     	2025.1.2      	Elma365 full application chart                    
elma365/elma365                  	2025.1.1     	2025.1.1      	Elma365 full application chart                    
elma365/elma365                  	2024.11.50   	2024.11.50    	Elma365 full application chart                    
elma365/elma365                  	2024.11.49   	2024.11.49    	Elma365 full application chart                    
elma365/elma365                  	2024.11.48   	2024.11.48    	Elma365 full application chart                    
elma365/elma365                  	2024.11.47   	2024.11.47    	Elma365 full application chart                    
elma365/elma365                  	2024.11.46   	2024.11.46    	Elma365 full application chart                    
elma365/elma365                  	2024.11.45   	2024.11.45    	Elma365 full application chart                    
elma365/elma365                  	2024.11.44   	2024.11.44    	Elma365 full application chart                    
elma365/elma365                  	2024.11.43   	2024.11.43    	Elma365 full application chart                    
elma365/elma365                  	2024.11.42   	2024.11.42    	Elma365 full application chart                    
elma365/elma365                  	2024.11.41   	2024.11.41    	Elma365 full application chart                    
elma365/elma365                  	2024.11.40   	2024.11.40    	Elma365 full application chart                    
elma365/elma365                  	2024.11.39   	2024.11.39    	Elma365 full application chart                    
elma365/elma365                  	2024.11.38   	2024.11.38    	Elma365 full application chart                    
elma365/elma365                  	2024.11.37   	2024.11.37    	Elma365 full application chart                    
elma365/elma365                  	2024.11.36   	2024.11.36    	Elma365 full application chart                    
elma365/elma365                  	2024.11.35   	2024.11.35    	Elma365 full application chart                    
elma365/elma365                  	2024.11.34   	2024.11.34    	Elma365 full application chart                    
elma365/elma365                  	2024.11.33   	2024.11.33    	Elma365 full application chart                    
elma365/elma365                  	2024.11.32   	2024.11.32    	Elma365 full application chart                    
elma365/elma365                  	2024.11.31   	2024.11.31    	Elma365 full application chart                    
elma365/elma365                  	2024.11.30   	2024.11.30    	Elma365 full application chart                    
elma365/elma365                  	2024.11.29   	2024.11.29    	Elma365 full application chart                    
elma365/elma365                  	2024.11.28   	2024.11.28    	Elma365 full application chart                    
elma365/elma365                  	2024.11.27   	2024.11.27    	Elma365 full application chart                    
elma365/elma365                  	2024.11.26   	2024.11.26    	Elma365 full application chart                    
elma365/elma365                  	2024.11.25   	2024.11.25    	Elma365 full application chart                    
elma365/elma365                  	2024.11.24   	2024.11.24    	Elma365 full application chart                    
elma365/elma365                  	2024.11.23   	2024.11.23    	Elma365 full application chart                    
elma365/elma365                  	2024.11.22   	2024.11.22    	Elma365 full application chart                    
elma365/elma365                  	2024.11.21   	2024.11.21    	Elma365 full application chart                    
elma365/elma365                  	2024.11.20   	2024.11.20    	Elma365 full application chart                    
elma365/elma365                  	2024.11.19   	2024.11.19    	Elma365 full application chart                    
elma365/elma365                  	2024.11.18   	2024.11.18    	Elma365 full application chart                    
elma365/elma365                  	2024.11.17   	2024.11.17    	Elma365 full application chart                    
elma365/elma365                  	2024.11.16   	2024.11.16    	Elma365 full application chart                    
elma365/elma365                  	2024.11.15   	2024.11.15    	Elma365 full application chart                    
elma365/elma365                  	2024.11.14   	2024.11.14    	Elma365 full application chart                    
elma365/elma365                  	2024.11.13   	2024.11.13    	Elma365 full application chart                    
elma365/elma365                  	2024.11.12   	2024.11.12    	Elma365 full application chart                    
elma365/elma365                  	2024.11.11   	2024.11.11    	Elma365 full application chart                    
elma365/elma365                  	2024.11.10   	2024.11.10    	Elma365 full application chart                    
elma365/elma365                  	2024.11.9    	2024.11.9     	Elma365 full application chart                    
elma365/elma365                  	2024.11.8    	2024.11.8     	Elma365 full application chart                    
elma365/elma365                  	2024.11.7    	2024.11.7     	Elma365 full application chart                    
elma365/elma365                  	2024.11.6    	2024.11.6     	Elma365 full application chart                    
elma365/elma365                  	2024.11.5    	2024.11.5     	Elma365 full application chart                    
elma365/elma365                  	2024.11.4    	2024.11.4     	Elma365 full application chart                    
elma365/elma365                  	2024.11.3    	2024.11.3     	Elma365 full application chart                    
elma365/elma365                  	2024.11.2    	2024.11.2     	Elma365 full application chart                    
elma365/elma365                  	2024.11.1    	2024.11.1     	Elma365 full application chart                    
elma365/elma365                  	2024.10.83   	2024.10.83    	Elma365 full application chart                    
elma365/elma365                  	2024.10.82   	2024.10.82    	Elma365 full application chart                    
elma365/elma365                  	2024.10.80   	2024.10.80    	Elma365 full application chart                    
elma365/elma365                  	2024.10.79   	2024.10.79    	Elma365 full application chart                    
elma365/elma365                  	2024.10.78   	2024.10.78    	Elma365 full application chart                    
elma365/elma365                  	2024.10.77   	2024.10.77    	Elma365 full application chart                    
elma365/elma365                  	2024.10.76   	2024.10.76    	Elma365 full application chart                    
elma365/elma365                  	2024.10.75   	2024.10.75    	Elma365 full application chart                    
elma365/elma365                  	2024.10.74   	2024.10.74    	Elma365 full application chart                    
elma365/elma365                  	2024.10.73   	2024.10.73    	Elma365 full application chart                    
elma365/elma365                  	2024.10.72   	2024.10.72    	Elma365 full application chart                    
elma365/elma365                  	2024.10.71   	2024.10.71    	Elma365 full application chart                    
elma365/elma365                  	2024.10.70   	2024.10.70    	Elma365 full application chart                    
elma365/elma365                  	2024.10.69   	2024.10.69    	Elma365 full application chart                    
elma365/elma365                  	2024.10.68   	2024.10.68    	Elma365 full application chart                    
elma365/elma365                  	2024.10.67   	2024.10.67    	Elma365 full application chart                    
elma365/elma365                  	2024.10.66   	2024.10.66    	Elma365 full application chart                    
elma365/elma365                  	2024.10.65   	2024.10.65    	Elma365 full application chart                    
elma365/elma365                  	2024.10.64   	2024.10.64    	Elma365 full application chart                    
elma365/elma365                  	2024.10.63   	2024.10.63    	Elma365 full application chart                    
elma365/elma365                  	2024.10.62   	2024.10.62    	Elma365 full application chart                    
elma365/elma365                  	2024.10.61   	2024.10.61    	Elma365 full application chart                    
elma365/elma365                  	2024.10.60   	2024.10.60    	Elma365 full application chart                    
elma365/elma365                  	2024.10.59   	2024.10.59    	Elma365 full application chart                    
elma365/elma365                  	2024.10.58   	2024.10.58    	Elma365 full application chart                    
elma365/elma365                  	2024.10.57   	2024.10.57    	Elma365 full application chart                    
elma365/elma365                  	2024.10.56   	2024.10.56    	Elma365 full application chart                    
elma365/elma365                  	2024.10.55   	2024.10.55    	Elma365 full application chart                    
elma365/elma365                  	2024.10.54   	2024.10.54    	Elma365 full application chart                    
elma365/elma365                  	2024.10.53   	2024.10.53    	Elma365 full application chart                    
elma365/elma365                  	2024.10.52   	2024.10.52    	Elma365 full application chart                    
elma365/elma365                  	2024.10.51   	2024.10.51    	Elma365 full application chart                    
elma365/elma365                  	2024.10.50   	2024.10.50    	Elma365 full application chart                    
elma365/elma365                  	2024.10.49   	2024.10.49    	Elma365 full application chart                    
elma365/elma365                  	2024.10.48   	2024.10.48    	Elma365 full application chart                    
elma365/elma365                  	2024.10.47   	2024.10.47    	Elma365 full application chart                    
elma365/elma365                  	2024.10.46   	2024.10.46    	Elma365 full application chart                    
elma365/elma365                  	2024.10.45   	2024.10.45    	Elma365 full application chart                    
elma365/elma365                  	2024.10.44   	2024.10.44    	Elma365 full application chart                    
elma365/elma365                  	2024.10.43   	2024.10.43    	Elma365 full application chart                    
elma365/elma365                  	2024.10.42   	2024.10.42    	Elma365 full application chart                    
elma365/elma365                  	2024.10.41   	2024.10.41    	Elma365 full application chart                    
elma365/elma365                  	2024.10.40   	2024.10.40    	Elma365 full application chart                    
elma365/elma365                  	2024.10.39   	2024.10.39    	Elma365 full application chart                    
elma365/elma365                  	2024.10.38   	2024.10.38    	Elma365 full application chart                    
elma365/elma365                  	2024.10.37   	2024.10.37    	Elma365 full application chart                    
elma365/elma365                  	2024.10.36   	2024.10.36    	Elma365 full application chart                    
elma365/elma365                  	2024.10.35   	2024.10.35    	Elma365 full application chart                    
elma365/elma365                  	2024.10.34   	2024.10.34    	Elma365 full application chart                    
elma365/elma365                  	2024.10.33   	2024.10.33    	Elma365 full application chart                    
elma365/elma365                  	2024.10.32   	2024.10.32    	Elma365 full application chart                    
